manufacturer_id,db_domain,db_has_equipments,astra_has_equipments,qwen_has_equipments,db_is_coman,astra_is_coman,qwen_is_coman,db_is_food_beverage,astra_is_food_beverage,qwen_is_food_beverage,db_specialty,astra_specialty,qwen_specialty
380928,marshallshoney.com,True,True,False,yes,no,no,True,True,True,ingredient_producer,none,ingredient_producer
528862,polykotecorp.com,True,True,True,yes,yes,yes,True,True,True,packaging_producer,customised_packaging,customised_packaging
534335,moarkllc.com,True,True,True,yes,yes,yes,True,True,True,ingredient_producer,ingredient_producer,ingredient_producer
541296,hawaiianmoonbeanscoffee.com,True,True,True,yes,yes,yes,True,True,True,ingredient_producer,none,none
550120,wholesomeharvestbaking.com,True,True,True,yes,yes,yes,True,True,True,none,none,bakery
550165,rastellieurope.com,True,True,True,yes,yes,yes,True,True,True,none,none,ingredient_producer
558641,deepfieldaromatics.com,True,True,True,yes,yes,yes,True,True,True,none,none,none
568707,solidground.farm,True,True,True,yes,no,no,True,True,True,ingredient_producer,none,ingredient_producer
569191,topbutcher.com,True,False,True,yes,no,yes,True,True,True,ingredient_producer,ingredient_producer,ingredient_producer
571207,rootstoriverfarm.com,True,True,True,yes,no,no,True,True,True,ingredient_producer,none,winery__brewery__distillery
572522,bulkelderberryjuiceconcentrate.us,True,True,True,yes,no,yes,True,True,True,ingredient_producer,ingredient_producer,ingredient_producer
575188,frallier.com,True,False,False,yes,no,no,True,True,True,ingredient_producer,ingredient_producer,ingredient_producer
582537,tortillerialacalifornia.com,True,True,True,yes,yes,no,True,True,True,none,none,none
584581,pennydiaperwarehouse.com,True,True,True,yes,yes,yes,True,True,True,none,none,none
587477,maxpharmainc.com,True,True,True,yes,yes,yes,True,True,True,none,supplements,supplements
588529,bbiplastics.com,True,True,True,no,yes,no,True,False,True,packaging_producer,packaging_producer,none
590863,earthbrothershemp.com,True,True,True,yes,yes,yes,True,True,True,none,supplements,ingredient_producer
593680,phlassociates.com,True,True,True,yes,yes,yes,True,True,True,pet_and_animal_products,pet_animal_products,none
596572,colleenstrawberries.com,True,True,True,yes,yes,yes,True,True,True,ingredient_producer,none,ingredient_producer
599913,chorganicalmonds.com,True,True,True,yes,no,no,True,True,True,ingredient_producer,none,ingredient_producer
600301,crossroadsblueberryfarm.com,True,True,True,yes,no,no,True,True,True,ingredient_producer,ingredient_producer,ingredient_producer
600557,deercreekorganics.com,True,True,True,yes,no,no,True,True,True,ingredient_producer,none,ingredient_producer
601578,freshaproduce.com,True,True,True,yes,no,no,True,True,True,ingredient_producer,none,ingredient_producer
601945,gracelandfarmllc.com,True,True,True,yes,no,no,True,True,True,ingredient_producer,none,ingredient_producer
603017,jjs.farm,True,True,True,yes,no,no,True,True,True,ingredient_producer,none,ingredient_producer
604311,merchantsgarden.com,True,True,True,yes,no,no,True,True,True,ingredient_producer,none,ingredient_producer
604681,mudcityfarm.com,True,True,True,yes,no,no,True,True,True,ingredient_producer,ingredient_producer,ingredient_producer
604719,mustardseedfarmer.com,True,True,True,no,no,no,True,True,True,ingredient_producer,none,ingredient_producer
605477,patchfarm.me,True,True,True,no,no,no,True,True,True,ingredient_producer,ingredient_producer,ingredient_producer
605705,plowbreakfarm.com,True,True,True,yes,no,no,True,True,True,ingredient_producer,none,ingredient_producer
605950,queensgreensfarm.com,True,True,True,yes,no,no,True,True,True,ingredient_producer,none,ingredient_producer
606098,redmansefarm.com,True,True,True,yes,no,no,True,True,True,ingredient_producer,none,ingredient_producer
609444,broomstickfarmwa.com,True,True,True,yes,no,no,True,True,True,ingredient_producer,none,ingredient_producer
610159,ingredyum.com,True,True,False,yes,yes,no,True,True,True,ingredient_producer,ingredient_producer,ingredient_producer
