manufacturer_id,db_domain,db_has_equipments,astra_has_equipments,qwen_has_equipments,db_is_coman,astra_is_coman,qwen_is_coman,db_is_food_beverage,astra_is_food_beverage,qwen_is_food_beverage,db_specialty,astra_specialty,qwen_specialty
218,hearthsidefoods.com,True,True,True,yes,yes,yes,True,True,True,none,co_packer,bakery
395,citybrewery.com,True,True,True,yes,yes,yes,True,True,True,ingredient_producer,winery__brewery__distillery,co_packer
492,virginiadare.com,True,False,False,yes,no,yes,True,True,True,ingredient_producer,ingredient_producer,ingredient_producer
741,prlabs.com,True,True,True,yes,yes,yes,True,False,True,,supplements,supplements
2344,andrianispa.com,True,True,True,yes,yes,yes,True,True,True,none,none,bakery
7271,thesweettooth.com,True,True,True,yes,no,no,True,True,True,,none,none
7855,pastamorelli.it,True,True,True,no,no,no,True,True,True,none,none,none
7919,infiniteeusa.com,False,False,False,no,no,no,True,True,True,ingredient_producer,none,ingredient_producer
8310,flightdeckbrewing.com,True,True,True,no,no,no,True,True,True,winery__brewery__distillery,winery__brewery__distillery,winery__brewery__distillery
8355,megamexfoods.com,True,True,True,yes,no,no,True,True,True,ingredient_producer,none,none
8421,lucta.com,True,True,True,yes,no,yes,True,True,True,ingredient_producer,pet_animal_products,ingredient_producer
8422,wintersunchem.com,True,False,False,no,no,yes,True,True,True,ingredient_producer,none,ingredient_producer
8509,holtonfp.com,False,False,True,no,no,no,True,True,True,ingredient_producer,ingredient_producer,ingredient_producer
8711,sunnydalefoods.com,True,True,True,yes,no,yes,True,True,True,ingredient_producer,ingredient_producer,ingredient_producer
8830,bluepacificflavors.com,True,False,False,yes,no,yes,True,True,True,ingredient_producer,ingredient_producer,ingredient_producer
9003,mcmfoodcorp.com,True,True,True,yes,yes,yes,True,True,True,,none,ingredient_producer
9097,losurdofoods.com,True,False,False,yes,no,no,True,True,True,,none,none
9100,pepsicolaofbristol.com,True,True,True,no,no,no,True,True,True,none,none,none
9483,originalfoods.com,True,True,True,yes,yes,yes,True,True,True,ingredient_producer,co_packer,co_packer
9542,betterlifefoodsinc.com,True,True,True,yes,no,yes,True,True,True,ingredient_producer,none,ingredient_producer
10107,montitrentini.com,True,True,True,yes,no,yes,True,True,True,none,none,ingredient_producer
10389,amefoods.com,True,True,True,yes,yes,yes,True,True,True,co_packer,co_packer,co_packer
10420,hananproducts.com,True,True,True,yes,no,yes,True,True,True,none,none,none
11016,randysfoods.com,True,True,True,yes,yes,yes,True,True,True,,none,none
11160,ultrapurewaterinc.com,False,False,False,no,no,no,True,True,True,none,none,none
11194,justdandydough.com,True,True,True,yes,no,no,True,True,True,none,none,none
11242,amnut.com,True,True,True,no,no,no,True,True,True,none,none,none
11895,mercermilling.com,True,True,True,yes,yes,yes,True,True,True,ingredient_producer,pet_animal_products,ingredient_producer
11999,sensient-beauty.com,True,,,yes,,,True,,,ingredient_producer,,
12117,aspencoffeecompany.com,False,False,False,no,no,no,False,False,True,none,none,none
12356,probi.com,True,True,True,yes,yes,yes,True,True,True,,supplements,supplements
14023,laurellovineyards.com,True,True,True,no,no,no,True,True,True,winery__brewery__distillery,winery__brewery__distillery,winery__brewery__distillery
14226,bogatibodega.com,True,True,True,no,no,no,True,True,True,winery__brewery__distillery,winery__brewery__distillery,winery__brewery__distillery
14325,tigertailpetfoods.com,False,False,False,no,no,no,True,True,True,pet_animal_products,pet_animal_products,pet_animal_products
14447,mcellars.com,True,True,True,no,no,no,True,True,True,winery__brewery__distillery,winery__brewery__distillery,winery__brewery__distillery
14562,twinoaksvalleywinery.com,True,True,True,no,no,no,True,True,True,winery__brewery__distillery,winery__brewery__distillery,winery__brewery__distillery
14568,indahcoffee.com,True,True,True,no,no,no,True,True,True,none,none,none
14610,thehoneystore.net,True,True,True,no,no,no,True,True,True,ingredient_producer,none,ingredient_producer
14858,leherbe.com,True,True,True,yes,yes,yes,True,True,True,ingredient_producer,none,ingredient_producer
15104,maolamilk.com,True,False,True,yes,no,no,True,True,True,ingredient_producer,none,ingredient_producer
15121,modufoodservice.com,True,True,True,yes,yes,yes,True,True,True,ingredient_producer,none,ingredient_producer
15321,valleyfoods.com,True,True,True,yes,yes,yes,True,True,True,,co_packer,co_packer
15385,cardenasmarkets.com,True,True,True,yes,no,yes,True,True,True,none,none,none
15527,vellacheese.com,True,True,True,no,no,no,True,True,True,none,none,none
16042,pro-health.com,True,True,True,yes,yes,yes,True,True,True,,ingredient_producer,ingredient_producer
16755,naturalwaymills.com,True,True,True,no,no,no,True,True,True,none,none,ingredient_producer
16921,nicklecreekvineyard.com,True,True,True,no,no,no,True,True,True,winery__brewery__distillery,winery__brewery__distillery,winery__brewery__distillery
17034,treelinecheese.com,True,True,True,yes,no,no,True,True,True,ingredient_producer,none,none
17326,rushcitybakery.com,True,True,True,yes,no,no,True,True,True,bakery,bakery,bakery
17937,longfordsicecream.com,True,True,True,yes,no,no,True,True,True,none,none,none
18052,vineyard29.com,True,True,True,no,no,no,True,True,True,winery__brewery__distillery,winery__brewery__distillery,winery__brewery__distillery
18140,villabellezza.com,True,True,True,no,no,no,True,True,True,winery__brewery__distillery,winery__brewery__distillery,winery__brewery__distillery
18465,montaukdistillingco.com,True,True,True,yes,yes,yes,True,True,True,winery__brewery__distillery,winery__brewery__distillery,winery__brewery__distillery
18568,muletowncoffee.com,False,False,True,no,no,no,True,True,True,none,none,none
